               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.064016,            0.028279,            0.024854,             0.65246,             0.45355,             0.35417,              0.2039,            0.072578,            0.021751,            0.021214,           0.0098984,           0.0078984,           0.0078984
                  99,            0.065293,            0.024956,            0.025921,             0.86397,             0.46875,             0.46301,             0.22932,            0.062936,            0.021011,            0.019247,           0.0089594,           0.0079594,           0.0079594
                 100,             0.06336,            0.032427,            0.025241,             0.86397,             0.46875,             0.46301,             0.22932,            0.062936,            0.021011,            0.019247,             0.00802,             0.00802,             0.00802
                 101,            0.066895,             0.02599,            0.025155,             0.86397,             0.46875,             0.46301,             0.22932,            0.062936,            0.021011,            0.019247,             0.00802,             0.00802,             0.00802
                 102,             0.05889,            0.024546,            0.022685,             0.86397,             0.46875,             0.46301,             0.22932,            0.062936,            0.021011,            0.019247,           0.0080002,           0.0080002,           0.0080002
                 103,            0.064716,            0.027748,            0.025252,             0.79169,             0.46875,             0.49246,             0.24995,            0.062218,            0.020126,            0.019015,           0.0079804,           0.0079804,           0.0079804
                 104,            0.063446,            0.032399,            0.025483,             0.79169,             0.46875,             0.49246,             0.24995,            0.062218,            0.020126,            0.019015,           0.0079606,           0.0079606,           0.0079606
                 105,            0.057448,            0.024804,            0.024528,             0.79169,             0.46875,             0.49246,             0.24995,            0.062218,            0.020126,            0.019015,           0.0079408,           0.0079408,           0.0079408
                 106,            0.062316,            0.026214,            0.024911,             0.79169,             0.46875,             0.49246,             0.24995,            0.062218,            0.020126,            0.019015,            0.007921,            0.007921,            0.007921
                 107,            0.062804,            0.030889,            0.023499,             0.74821,             0.34375,             0.42063,             0.22133,            0.069593,             0.01922,            0.018364,           0.0079012,           0.0079012,           0.0079012
                 108,            0.071034,            0.029223,            0.024243,             0.74821,             0.34375,             0.42063,             0.22133,            0.069593,             0.01922,            0.018364,           0.0078814,           0.0078814,           0.0078814
                 109,            0.073621,              0.0245,            0.022959,             0.74821,             0.34375,             0.42063,             0.22133,            0.069593,             0.01922,            0.018364,           0.0078616,           0.0078616,           0.0078616
                 110,            0.071029,            0.030589,            0.024507,             0.74821,             0.34375,             0.42063,             0.22133,            0.069593,             0.01922,            0.018364,           0.0078418,           0.0078418,           0.0078418
                 111,            0.075603,            0.025386,            0.028651,             0.88112,              0.4375,             0.48732,             0.21684,            0.066726,            0.016938,            0.017311,            0.007822,            0.007822,            0.007822
                 112,            0.061443,            0.029391,            0.022014,             0.88112,              0.4375,             0.48732,             0.21684,            0.066726,            0.016938,            0.017311,           0.0078022,           0.0078022,           0.0078022
                 113,             0.06173,            0.027019,            0.024498,             0.88112,              0.4375,             0.48732,             0.21684,            0.066726,            0.016938,            0.017311,           0.0077824,           0.0077824,           0.0077824
                 114,            0.064486,            0.033361,            0.021937,             0.88112,              0.4375,             0.48732,             0.21684,            0.066726,            0.016938,            0.017311,           0.0077626,           0.0077626,           0.0077626
                 115,            0.060465,             0.02974,            0.021546,             0.84419,             0.40625,             0.47633,             0.21728,            0.067445,            0.016304,            0.016048,           0.0077428,           0.0077428,           0.0077428
                 116,            0.063777,            0.022946,             0.02356,             0.84419,             0.40625,             0.47633,             0.21728,            0.067445,            0.016304,            0.016048,            0.007723,            0.007723,            0.007723
                 117,            0.058362,            0.022223,             0.02072,             0.84419,             0.40625,             0.47633,             0.21728,            0.067445,            0.016304,            0.016048,           0.0077032,           0.0077032,           0.0077032
                 118,            0.059322,             0.02612,            0.022346,             0.84419,             0.40625,             0.47633,             0.21728,            0.067445,            0.016304,            0.016048,           0.0076834,           0.0076834,           0.0076834
                 119,            0.061366,            0.024022,             0.02126,             0.90175,             0.42312,             0.53415,              0.3078,            0.062124,            0.016784,            0.014461,           0.0076636,           0.0076636,           0.0076636
                 120,            0.061544,            0.024192,            0.019983,             0.90175,             0.42312,             0.53415,              0.3078,            0.062124,            0.016784,            0.014461,           0.0076438,           0.0076438,           0.0076438
                 121,            0.064353,            0.024452,            0.020706,             0.90175,             0.42312,             0.53415,              0.3078,            0.062124,            0.016784,            0.014461,            0.007624,            0.007624,            0.007624
                 122,             0.06305,            0.031113,            0.020437,             0.90175,             0.42312,             0.53415,              0.3078,            0.062124,            0.016784,            0.014461,           0.0076042,           0.0076042,           0.0076042
                 123,            0.064818,            0.025984,            0.021718,             0.77933,              0.4375,             0.48158,             0.22907,            0.060424,            0.016533,            0.013614,           0.0075844,           0.0075844,           0.0075844
                 124,            0.060504,            0.025407,            0.021651,             0.77933,              0.4375,             0.48158,             0.22907,            0.060424,            0.016533,            0.013614,           0.0075646,           0.0075646,           0.0075646
                 125,            0.060265,            0.028535,            0.019127,             0.77933,              0.4375,             0.48158,             0.22907,            0.060424,            0.016533,            0.013614,           0.0075448,           0.0075448,           0.0075448
                 126,            0.063034,            0.024733,            0.022073,             0.77933,              0.4375,             0.48158,             0.22907,            0.060424,            0.016533,            0.013614,            0.007525,            0.007525,            0.007525
                 127,            0.060772,            0.026003,            0.019637,             0.76296,              0.4126,              0.4906,             0.27774,            0.056976,            0.016489,            0.012924,           0.0075052,           0.0075052,           0.0075052
                 128,            0.062341,            0.025399,            0.023135,             0.76296,              0.4126,              0.4906,             0.27774,            0.056976,            0.016489,            0.012924,           0.0074854,           0.0074854,           0.0074854
                 129,            0.058895,            0.026112,            0.018177,             0.76296,              0.4126,              0.4906,             0.27774,            0.056976,            0.016489,            0.012924,           0.0074656,           0.0074656,           0.0074656
                 130,              0.0588,            0.031616,            0.021079,             0.76296,              0.4126,              0.4906,             0.27774,            0.056976,            0.016489,            0.012924,           0.0074458,           0.0074458,           0.0074458
                 131,            0.058648,            0.028625,            0.018666,             0.83818,             0.48558,             0.54218,             0.28923,            0.055886,            0.016282,            0.012229,            0.007426,            0.007426,            0.007426
                 132,            0.054588,            0.033749,            0.019634,             0.83818,             0.48558,             0.54218,             0.28923,            0.055886,            0.016282,            0.012229,           0.0074062,           0.0074062,           0.0074062
                 133,            0.058277,            0.030409,            0.022186,             0.83818,             0.48558,             0.54218,             0.28923,            0.055886,            0.016282,            0.012229,           0.0073864,           0.0073864,           0.0073864
                 134,            0.057552,            0.031168,            0.019977,             0.83818,             0.48558,             0.54218,             0.28923,            0.055886,            0.016282,            0.012229,           0.0073666,           0.0073666,           0.0073666
                 135,            0.057473,            0.029357,             0.02009,             0.59257,                0.55,             0.41239,              0.1981,            0.059526,            0.016009,            0.011731,           0.0073468,           0.0073468,           0.0073468
                 136,            0.058086,            0.030102,            0.017493,             0.59257,                0.55,             0.41239,              0.1981,            0.059526,            0.016009,            0.011731,            0.007327,            0.007327,            0.007327
                 137,             0.06618,             0.02182,            0.020414,             0.59257,                0.55,             0.41239,              0.1981,            0.059526,            0.016009,            0.011731,           0.0073072,           0.0073072,           0.0073072
